Order ID,Order Date,CustomerName,State,City
B-20201,1/11/2018,Geeta Shah,Bihar,Gaya
B-20202,4/2/2021,Jyoti Agarwal,Gujarat,Vadodara
B-20203,22-01-2019,Kavita Pillai,Andhra Pradesh,Vijayawada
B-20204,31-03-2018,Harivansh Malhotra,Gujarat,Rajkot
B-20205,1/3/2020,Deepa Chopra,Goa,Panaji
B-20206,25-10-2020,Tushar Mishra,Tamil Nadu,Coimbatore
B-20207,24-07-2018,Nikhil Das,Uttar Pradesh,Lucknow
B-20208,19-04-2020,Deepa Singh,Gujarat,Vadodara
B-20209,25-11-2019,Gaurav Pandey,Andhra Pradesh,Visakhapatnam
B-20210,4/11/2019,Jyoti Agarwal,Jammu and Kashmir,Jammu
B-20211,13-01-2021,Priya Desai,Uttar Pradesh,Agra
B-20212,11/4/2019,Meena Bose,Goa,Panaji
B-20213,27-06-2020,Kiran Pandey,Madhya Pradesh,Indore
B-20214,5/4/2018,Harivansh Verma,Madhya Pradesh,Gwalior
B-20215,1/6/2020,Deepa Reddy,Bihar,Muzaffarpur
B-20216,28-10-2021,Sunita Patel,Delhi,Dwarka
B-20217,23-02-2020,Gaurav Tiwari,Maharashtra,Pune
B-20218,21-04-2019,Ravi Mohan,Maharashtra,Nagpur
B-20219,27-09-2021,Aarav Das,West Bengal,Siliguri
B-20220,24-01-2021,Kiran Singh,Gujarat,Vadodara
B-20221,18-04-2021,Asha Mohan,Goa,Margao
B-20222,24-07-2020,Asha Nair,Sikkim,Namchi
B-20223,7/8/2018,Kavita Agarwal,Punjab,Jalandhar
B-20224,29-08-2019,Vikas Sharma,Goa,Margao
B-20225,17-07-2019,Aarav Pillai,Tamil Nadu,Madurai
B-20226,11/4/2018,Nandita Malhotra,Bihar,Gaya
B-20227,17-04-2019,Nandita Yadav,Maharashtra,Pune
B-20228,25-06-2021,Manoj Tiwari,Rajasthan,Jodhpur
B-20229,10/7/2021,Vikram Mohan,Kerala,Thiruvananthapuram
B-20230,21-06-2020,Priya Pillai,Andhra Pradesh,Visakhapatnam
B-20231,4/7/2018,Vikas Mishra,Rajasthan,Jodhpur
B-20232,16-02-2019,Amit Shah,Tamil Nadu,Coimbatore
B-20233,23-12-2020,Lalita Iyer,Karnataka,Mysuru
B-20234,13-09-2020,Vikas Malhotra,Tamil Nadu,Chennai
B-20235,17-08-2020,Suresh Gupta,Rajasthan,Jodhpur
B-20236,17-10-2021,Rohit Shah,Andhra Pradesh,Vijayawada
B-20237,29-01-2018,Manoj Shah,Delhi,New Delhi
B-20238,9/10/2021,Manoj Pillai,Andhra Pradesh,Tirupati
B-20239,31-01-2020,Vikram Tiwari,Maharashtra,Mumbai
B-20240,22-06-2021,Sunil Mishra,West Bengal,Kolkata
B-20241,19-08-2021,Suresh Mohan,Karnataka,Hubli
B-20242,11/9/2019,Sneha Kumar,Delhi,Delhi
B-20243,16-09-2019,Dinesh Kumar,Uttar Pradesh,Varanasi
B-20244,5/10/2018,Madan Das,Andhra Pradesh,Tirupati
B-20245,27-11-2021,Jyoti Bose,Punjab,Jalandhar
B-20246,13-11-2018,Sneha Mohan,Uttar Pradesh,Kanpur
B-20247,14-06-2021,Sneha Iyer,Uttar Pradesh,Agra
B-20248,21-03-2019,Geeta Das,Jammu and Kashmir,Jammu
B-20249,23-07-2018,Vishakha Shah,West Bengal,Siliguri
B-20250,5/1/2020,Anita Agarwal,Maharashtra,Mumbai
B-20251,20-07-2020,Meena Tiwari,Maharashtra,Mumbai
B-20252,14-04-2018,Madhav Reddy,Sikkim,Gangtok
B-20253,21-05-2018,Sunil Nair,Punjab,Amritsar
B-20254,4/11/2019,Deepa Desai,Uttar Pradesh,Lucknow
B-20255,24-09-2018,Jyoti Iyer,Karnataka,Bengaluru
B-20256,15-09-2021,Rahul Gupta,Uttar Pradesh,Lucknow
B-20257,20-04-2021,Harivansh Sharma,Delhi,Delhi
B-20258,17-09-2018,Sneha Mehta,Delhi,Delhi
B-20259,2/9/2020,Geeta Yadav,Bihar,Patna
B-20260,14-07-2020,Lalita Reddy,Jammu and Kashmir,Srinagar
B-20261,11/9/2021,Nikhil Joshi,Gujarat,Ahmedabad
B-20262,5/5/2018,Shalini Agarwal,Gujarat,Ahmedabad
B-20263,1/10/2020,Geeta Singh,West Bengal,Howrah
B-20264,30-05-2021,Deepa Singh,Delhi,Dwarka
B-20265,20-07-2021,Tushar Shah,Haryana,Faridabad
B-20266,8/5/2021,Nikhil Joshi,Gujarat,Rajkot
B-20267,23-07-2018,Pooja Mohan,Kerala,Kozhikode
B-20268,17-03-2019,Arun Das,Tamil Nadu,Coimbatore
B-20269,26-11-2019,Ravi Agarwal,Gujarat,Ahmedabad
B-20270,3/10/2019,Arun Mishra,Nagaland,Dimapur
B-20271,9/11/2018,Shalini Singh,Uttar Pradesh,Mathura
B-20272,10/7/2018,Arun Kumar,Rajasthan,Udaipur
B-20273,24-09-2018,Sunil Verma,Punjab,Jalandhar
B-20274,24-02-2021,Madhav Tiwari,Delhi,New Delhi
B-20275,24-09-2021,Arun Malhotra,Uttar Pradesh,Agra
B-20276,14-05-2021,Asha Yadav,Uttar Pradesh,Varanasi
B-20277,12/3/2019,Deepa Tiwari,Bihar,Patna
B-20278,19-12-2019,Sunil Yadav,Delhi,New Delhi
B-20279,21-03-2021,Sanjay Bose,Tamil Nadu,Madurai
B-20280,10/6/2021,Sunil Sharma,Punjab,Jalandhar
B-20281,21-11-2021,Rekha Sharma,Delhi,Dwarka
B-20282,25-09-2019,Madhav Yadav,Uttar Pradesh,Lucknow
B-20283,5/3/2021,Rohit Singh,Delhi,Dwarka
B-20284,4/3/2018,Meena Malhotra,Bihar,Gaya
B-20285,9/5/2020,Ravi Mishra,Delhi,New Delhi
B-20286,27-10-2019,Parvati Desai,Uttar Pradesh,Mathura
B-20287,15-11-2018,Kiran Desai,Uttar Pradesh,Mathura
B-20288,12/7/2019,Geeta Tiwari,Gujarat,Rajkot
B-20289,28-04-2020,Rekha Nair,Rajasthan,Jaipur
B-20290,8/12/2019,Arun Kumar,Maharashtra,Nashik
B-20291,15-12-2020,Asha Verma,Maharashtra,Mumbai
B-20292,16-01-2018,Neha Joshi,Jammu and Kashmir,Srinagar
B-20293,8/6/2019,Vikas Mishra,Delhi,New Delhi
B-20294,31-05-2020,Sunita Gupta,Andhra Pradesh,Tirupati
B-20295,17-04-2019,Lalita Shah,Karnataka,Mysuru
B-20296,28-05-2018,Rohit Malhotra,Uttar Pradesh,Mathura
B-20297,30-07-2020,Suresh Mishra,Punjab,Jalandhar
B-20298,8/4/2020,Sneha Joshi,Delhi,Delhi
B-20299,28-10-2019,Kiran Desai,Gujarat,Vadodara
B-20300,30-06-2018,Arun Kumar,Maharashtra,Nashik
B-20301,9/12/2020,Meena Agarwal,Tamil Nadu,Madurai
B-20302,27-11-2019,Sanjay Mishra,Rajasthan,Jaipur
B-20303,11/11/2020,Pooja Mehta,Bihar,Gaya
B-20304,21-12-2019,Deepa Reddy,Uttar Pradesh,Agra
B-20305,9/2/2019,Sunita Desai,Delhi,Dwarka
B-20306,4/6/2018,Sunita Mohan,Bihar,Muzaffarpur
B-20307,1/4/2021,Geeta Tiwari,West Bengal,Siliguri
B-20308,9/8/2021,Gaurav Mishra,Tamil Nadu,Madurai
B-20309,10/10/2019,Deepa Das,Uttar Pradesh,Kanpur
B-20310,17-07-2021,Asha Iyer,Punjab,Ludhiana
B-20311,5/11/2020,Suresh Joshi,Gujarat,Ahmedabad
B-20312,27-04-2018,Vishakha Joshi,Uttar Pradesh,Mathura
B-20313,13-06-2021,Nandita Mehta,Andhra Pradesh,Tirupati
B-20314,9/2/2021,Priya Das,West Bengal,Siliguri
B-20315,27-08-2021,Rajesh Mishra,Punjab,Jalandhar
B-20316,5/11/2018,Anita Das,Uttar Pradesh,Agra
B-20317,22-06-2018,Lalita Mohan,Delhi,Delhi
B-20318,20-12-2021,Geeta Das,Bihar,Muzaffarpur
B-20319,22-11-2018,Vishakha Yadav,West Bengal,Howrah
B-20320,17-04-2020,Madhav Tiwari,Punjab,Jalandhar
B-20321,18-08-2021,Madhav Singh,Madhya Pradesh,Jabalpur
B-20322,5/8/2019,Manoj Malhotra,Tamil Nadu,Madurai
B-20323,4/11/2018,Madhav Singh,Punjab,Amritsar
B-20324,18-12-2019,Asha Mohan,Haryana,Faridabad
B-20325,22-09-2018,Nandita Pandey,Jammu and Kashmir,Jammu
B-20326,18-02-2021,Madan Mohan,Karnataka,Bengaluru
B-20327,4/10/2021,Nikhil Singh,Kerala,Thiruvananthapuram
B-20328,7/11/2020,Vishakha Sharma,Andhra Pradesh,Visakhapatnam
B-20329,15-03-2019,Madhav Chopra,Maharashtra,Pune
B-20330,14-11-2018,Suresh Joshi,Tamil Nadu,Chennai
B-20331,5/11/2020,Jyoti Malhotra,Tamil Nadu,Chennai
B-20332,17-09-2021,Madhav Desai,Delhi,New Delhi
B-20333,12/11/2018,Kiran Patel,Karnataka,Hubli
B-20334,6/12/2018,Geeta Verma,Andhra Pradesh,Tirupati
B-20335,2/5/2019,Geeta Desai,Maharashtra,Nashik
B-20336,25-04-2019,Jyoti Reddy,Madhya Pradesh,Jabalpur
B-20337,2/2/2019,Vishakha Tiwari,Jammu and Kashmir,Jammu
B-20338,3/8/2020,Vikas Agarwal,Bihar,Gaya
B-20339,28-11-2018,Rajesh Desai,Delhi,New Delhi
B-20340,17-04-2018,Shalini Yadav,Himachal Pradesh,Shimla
B-20341,27-12-2021,Nikhil Kumar,Maharashtra,Pune
B-20342,13-07-2019,Geeta Mehta,Delhi,New Delhi
B-20343,7/7/2018,Sanjay Das,Tamil Nadu,Chennai
B-20344,29-04-2020,Anita Agarwal,Bihar,Patna
B-20345,1/3/2020,Meena Yadav,Maharashtra,Nagpur
B-20346,22-07-2018,Madhav Gupta,Delhi,New Delhi
B-20347,25-08-2020,Amit Pandey,Gujarat,Ahmedabad
B-20348,12/6/2018,Rahul Iyer,Maharashtra,Pune
B-20349,28-01-2021,Nandita Mehta,Gujarat,Vadodara
B-20350,2/5/2019,Asha Kumar,Uttar Pradesh,Kanpur
B-20351,1/8/2021,Gaurav Das,Uttar Pradesh,Kanpur
B-20352,7/5/2021,Jyoti Sharma,Kerala,Kozhikode
B-20353,11/5/2019,Deepa Joshi,Gujarat,Vadodara
B-20354,8/5/2019,Parvati Bose,Delhi,Dwarka
B-20355,25-06-2018,Nikhil Yadav,Uttar Pradesh,Varanasi
B-20356,19-01-2021,Lalita Mehta,Himachal Pradesh,Manali
B-20357,20-08-2020,Priya Mohan,Andhra Pradesh,Vijayawada
B-20358,4/6/2019,Rahul Yadav,Karnataka,Mysuru
B-20359,9/5/2019,Vikram Pillai,Rajasthan,Udaipur
B-20360,1/10/2018,Priya Yadav,Himachal Pradesh,Dharamsala
B-20361,25-12-2018,Ravi Pandey,Gujarat,Surat
B-20362,4/10/2018,Suresh Pandey,Rajasthan,Kota
B-20363,17-03-2018,Vikas Nair,Uttar Pradesh,Lucknow
B-20364,27-03-2018,Harivansh Joshi,Bihar,Muzaffarpur
B-20365,27-08-2020,Manoj Verma,Rajasthan,Jodhpur
B-20366,9/8/2019,Gopal Verma,Tamil Nadu,Coimbatore
B-20367,14-07-2019,Pooja Yadav,Gujarat,Rajkot
B-20368,19-06-2020,Madan Mishra,Goa,Margao
B-20369,18-11-2021,Dinesh Yadav,West Bengal,Siliguri
B-20370,1/7/2019,Meena Malhotra,Gujarat,Rajkot
B-20371,18-05-2021,Sunita Shah,Madhya Pradesh,Indore
B-20372,13-06-2018,Harivansh Tiwari,Madhya Pradesh,Jabalpur
B-20373,19-05-2021,Arun Patel,Haryana,Faridabad
B-20374,4/7/2020,Priya Malhotra,Tamil Nadu,Coimbatore
B-20375,13-06-2021,Arun Iyer,Kerala,Kochi
B-20376,3/6/2018,Rohit Yadav,Bihar,Muzaffarpur
B-20377,23-10-2021,Kiran Sharma,Delhi,Dwarka
B-20378,20-10-2021,Geeta Verma,Delhi,Delhi
B-20379,14-08-2021,Vishakha Yadav,Andhra Pradesh,Tirupati
B-20380,8/3/2018,Nandita Gupta,Haryana,Faridabad
B-20381,1/2/2020,Geeta Singh,Punjab,Jalandhar
B-20382,22-01-2020,Rohit Mishra,Kerala,Kochi
B-20383,21-08-2018,Rahul Malhotra,Delhi,Dwarka
B-20384,3/3/2020,Sunil Kumar,Maharashtra,Nagpur
B-20385,12/12/2021,Geeta Nair,Sikkim,Namchi
B-20386,22-11-2021,Dinesh Nair,Delhi,Delhi
B-20387,14-07-2020,Sunita Pandey,Gujarat,Ahmedabad
B-20388,28-10-2021,Harivansh Tiwari,Madhya Pradesh,Indore
B-20389,31-01-2021,Jyoti Joshi,West Bengal,Kolkata
B-20390,28-12-2021,Sunita Yadav,Bihar,Patna
B-20391,16-02-2019,Amit Reddy,Karnataka,Bengaluru
B-20392,10/1/2020,Sunil Pillai,Andhra Pradesh,Tirupati
B-20393,23-09-2018,Gaurav Singh,Uttar Pradesh,Kanpur
B-20394,7/9/2020,Nikhil Bose,Rajasthan,Jaipur
B-20395,14-09-2018,Harivansh Mohan,Uttar Pradesh,Kanpur
B-20396,24-10-2021,Nikhil Yadav,Delhi,Dwarka
B-20397,3/8/2021,Tushar Patel,Rajasthan,Jodhpur
B-20398,5/6/2020,Lalita Verma,Karnataka,Hubli
B-20399,10/11/2018,Asha Patel,Delhi,Dwarka
B-20400,7/4/2019,Gopal Mehta,West Bengal,Kolkata
B-20401,29-05-2019,Rajesh Mohan,Jammu and Kashmir,Jammu
B-20402,14-09-2018,Asha Desai,Bihar,Muzaffarpur
B-20403,5/8/2021,Kiran Pillai,Jammu and Kashmir,Srinagar
B-20404,17-12-2018,Gaurav Malhotra,West Bengal,Howrah
B-20405,28-02-2021,Priya Sharma,Uttar Pradesh,Varanasi
B-20406,27-06-2019,Neha Pillai,Gujarat,Ahmedabad
B-20407,16-10-2020,Jyoti Joshi,Kerala,Thiruvananthapuram
B-20408,16-09-2020,Kavita Tiwari,Andhra Pradesh,Vijayawada
B-20409,30-05-2018,Anita Patel,Gujarat,Rajkot
B-20410,9/8/2020,Neha Mishra,Punjab,Ludhiana
